,STNAME,CTYNAME,POP2020,POP2015,POP2010,POPGROWTH,WORK2020,WORK2015,WORK2010,WORKGROWTH,TYPE,DISTRESSED
410,Georgia,Chatham County,289463,286239.0,265799.0,8.902968032234892,191323.0,192694.0,182421.0,4.879920623173861,S,N
411,Georgia,Chattahoochee County,10551,11075.0,11185.0,-5.6683057666517715,7866.0,8419.0,8087.0,-2.7327810065537306,R,B
412,Georgia,Chattooga County,24843,24918.0,25958.0,-4.295400261961635,15677.0,16119.0,17304.0,-9.402450300508558,R,A
413,Georgia,Cherokee County,265274,235424.0,215226.0,23.253696114781675,174364.0,156163.0,145511.0,19.82874146971707,S,N
414,Georgia,Clarke County,127795,123621.0,117389.0,8.864544378093342,94053.0,92725.0,89825.0,4.706930141942656,S,N
415,Georgia,Clay County,2866,3080.0,3176.0,-9.760705289672543,1586.0,1770.0,1949.0,-18.62493586454592,R,A
416,Georgia,Clayton County,292646,272874.0,259899.0,12.599894574430826,196215.0,185074.0,179757.0,9.155693519584762,S,N
417,Georgia,Clinch County,6582,6828.0,6764.0,-2.6907155529272586,4092.0,4308.0,4389.0,-6.766917293233088,R,A
418,Georgia,Cobb County,762944,739428.0,689542.0,10.645036850547186,519221.0,507642.0,482604.0,7.587380129464316,U,N
419,Georgia,Coffee County,43218,42998.0,42729.0,1.1444218212455226,28210.0,28657.0,28791.0,-2.0179917335278352,R,B
420,Georgia,Colquitt County,45542,45486.0,45638.0,-0.21035102327008337,28434.0,28766.0,29180.0,-2.556545579163816,R,B
421,Georgia,Columbia County,160377,143991.0,124951.0,28.351913950268504,104184.0,95747.0,84249.0,23.66200192287149,S,N
422,Georgia,Cook County,17291,17076.0,17184.0,0.6226722532588491,10758.0,10784.0,10969.0,-1.9236028808460204,R,B
423,Georgia,Coweta County,150849,138217.0,127939.0,17.906971291005867,99749.0,91751.0,85613.0,16.51151110228586,S,N
424,Georgia,Crawford County,12231,12351.0,12577.0,-2.751053510376078,7796.0,8045.0,8596.0,-9.306654257794323,R,A
